,Indicator Name
767,GNI per capita growth (annual %)
960,"GNI per capita, Atlas method (current US$)"
764,"GNI per capita, PPP (constant 2011 international $)"
765,"GNI per capita, PPP (current international $)"
968,"GNI, Atlas method (current US$)"
961,"GNI, PPP (constant 2011 international $)"
962,"GNI, PPP (current international $)"
1524,General government final consumption expenditure (% of GDP)
1526,General government final consumption expenditure (annual % growth)
1527,General government final consumption expenditure (constant 2010 US$)
1525,General government final consumption expenditure (constant LCU)
1528,General government final consumption expenditure (current LCU)
1529,General government final consumption expenditure (current US$)
591,Goods and services expense (% of expense)
592,Goods and services expense (current LCU)
1434,"Goods exports (BoP, current US$)"
1565,"Goods imports (BoP, current US$)"
240,"Government expenditure on education, total (% of GDP)"
241,"Government expenditure on education, total (% of government expenditure)"
247,"Government expenditure per student, primary (% of GDP per capita)"
245,"Government expenditure per student, secondary (% of GDP per capita)"
243,"Government expenditure per student, tertiary (% of GDP per capita)"
772,Grants and other revenue (% of revenue)
773,Grants and other revenue (current LCU)
1442,"Grants, excluding technical cooperation (BoP, current US$)"
1331,Gross capital formation (% of GDP)
1333,Gross capital formation (annual % growth)
1334,Gross capital formation (constant 2010 US$)
1332,Gross capital formation (constant LCU)
1335,Gross capital formation (current LCU)
1336,Gross capital formation (current US$)
969,Gross domestic income (constant LCU)
970,Gross domestic savings (% of GDP)
971,Gross domestic savings (current LCU)
972,Gross domestic savings (current US$)
1340,Gross fixed capital formation (% of GDP)
1342,Gross fixed capital formation (annual % growth)
1343,Gross fixed capital formation (constant 2010 US$)
1341,Gross fixed capital formation (constant LCU)
1344,Gross fixed capital formation (current LCU)
1345,Gross fixed capital formation (current US$)
1346,"Gross fixed capital formation, private sector (% of GDP)"
1347,"Gross fixed capital formation, private sector (current LCU)"
501,"Gross intake ratio in first grade of primary education, female (% of relevant age group)"
500,"Gross intake ratio in first grade of primary education, male (% of relevant age group)"
499,"Gross intake ratio in first grade of primary education, total (% of relevant age group)"
1354,Gross national expenditure (% of GDP)
1356,Gross national expenditure (constant 2010 US$)
1355,Gross national expenditure (constant LCU)
1357,Gross national expenditure (current LCU)
1358,Gross national expenditure (current US$)
1359,Gross national expenditure deflator (base year varies by country)
760,Gross savings (% of GDP)
761,Gross savings (% of GNI)
762,Gross savings (current LCU)
763,Gross savings (current US$)
994,Gross value added at basic prices (GVA) (constant 2010 US$)
993,Gross value added at basic prices (GVA) (constant LCU)
995,Gross value added at basic prices (GVA) (current LCU)
996,Gross value added at basic prices (GVA) (current US$)
1198,HFC gas emissions (thousand metric tons of CO2 equivalent)
10,High-technology exports (% of manufactured exports)
11,High-technology exports (current US$)
60,"Hospital beds (per 1,000 people)"
1520,Households and NPISHs Final consumption expenditure (annual % growth)
1521,Households and NPISHs Final consumption expenditure (constant 2010 US$)
1519,Households and NPISHs Final consumption expenditure (constant LCU)
1522,Households and NPISHs Final consumption expenditure (current LCU)
1523,Households and NPISHs Final consumption expenditure (current US$)
1518,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$)
1517,Households and NPISHs Final consumption expenditure per capita growth (annual %)
1367,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)"
1368,"Households and NPISHs Final consumption expenditure, PPP (current international $)"
1366,Households and NPISHs final consumption expenditure (% of GDP)
581,Human capital index (HCI) (scale 0-1)
580,"Human capital index (HCI), female (scale 0-1)"
578,"Human capital index (HCI), female, lower bound (scale 0-1)"
574,"Human capital index (HCI), female, upper bound (scale 0-1)"
579,"Human capital index (HCI), lower bound (scale 0-1)"
576,"Human capital index (HCI), male (scale 0-1)"
577,"Human capital index (HCI), male, lower bound (scale 0-1)"
573,"Human capital index (HCI), male, upper bound (scale 0-1)"
575,"Human capital index (HCI), upper bound (scale 0-1)"
651,"IBRD loans and IDA credits (DOD, current US$)"
31,ICT goods exports (% of total goods exports)
211,ICT goods imports (% total goods imports)
1439,"ICT service exports (% of service exports, BoP)"
1440,"ICT service exports (BoP, current US$)"
851,IDA grants (current US$)
157,IDA resource allocation index (1=low to 6=high)
188,"IFC, private nonguaranteed (NFL, current US$)"
619,"IMF charges (INT, current US$)"
856,"IMF purchases (DIS, current US$)"
1072,"IMF repurchases (AMT, current US$)"
1380,"IMF repurchases and charges (TDS, current US$)"
62,"Immunization, DPT (% of children ages 12-23 months)"
63,"Immunization, HepB3 (% of one-year-old children)"
61,"Immunization, measles (% of children ages 12-23 months)"
215,Import unit value index (2000 = 100)
43,Import value index (2000 = 100)
413,Import volume index (2000 = 100)
1325,Imports of goods and services (% of GDP)
1567,"Imports of goods and services (BoP, current US$)"
1327,Imports of goods and services (annual % growth)
1328,Imports of goods and services (constant 2010 US$)
1326,Imports of goods and services (constant LCU)
1329,Imports of goods and services (current LCU)
1330,Imports of goods and services (current US$)
1562,"Imports of goods, services and primary income (BoP, current US$)"
65,Incidence of HIV (% of uninfected population ages 15-49)
55,"Incidence of malaria (per 1,000 population at risk)"
1465,"Incidence of tuberculosis (per 100,000 people)"
1294,Income share held by fourth 20%
1292,Income share held by highest 10%
1293,Income share held by highest 20%
1291,Income share held by lowest 10%
1290,Income share held by lowest 20%
1296,Income share held by second 20%
1295,Income share held by third 20%
1462,Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line)
1464,Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD)
1458,Increase in poverty gap at $3.10 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line)
1460,Increase in poverty gap at $3.10 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD)
123,Individuals using the Internet (% of population)
329,"Industrial design applications, nonresident, by count"
328,"Industrial design applications, resident, by count"
1166,"Industry (including construction), value added (% of GDP)"
1168,"Industry (including construction), value added (annual % growth)"
1169,"Industry (including construction), value added (constant 2010 US$)"
1167,"Industry (including construction), value added (constant LCU)"
1170,"Industry (including construction), value added (current LCU)"
1171,"Industry (including construction), value added (current US$)"
1178,"Industry (including construction), value added per worker (constant 2010 US$)"
1002,"Inflation, GDP deflator (annual %)"
1001,"Inflation, GDP deflator: linked series (annual %)"
804,"Inflation, consumer prices (annual %)"
1099,Informal employment (% of total non-agricultural employment)
1101,"Informal employment, female (% of total non-agricultural employment)"
1100,"Informal employment, male (% of total non-agricultural employment)"
548,Informal payments to public officials (% of firms)
30,Insurance and financial services (% of commercial service exports)
210,Insurance and financial services (% of commercial service imports)
1435,"Insurance and financial services (% of service exports, BoP)"
1566,"Insurance and financial services (% of service imports, BoP)"
1,"Intentional homicides (per 100,000 people)"
3,"Intentional homicides, female (per 100,000 female)"
2,"Intentional homicides, male (per 100,000 male)"
402,"Interest arrears, long-term DOD (US$)"
400,"Interest arrears, official creditors (current US$)"
399,"Interest arrears, private creditors (current US$)"
398,Interest forgiven (current US$)
588,Interest payments (% of expense)
589,Interest payments (% of revenue)
590,Interest payments (current LCU)
620,Interest payments on external debt (% of GNI)
621,"Interest payments on external debt (% of exports of goods, services and primary income)"
618,"Interest payments on external debt, long-term (INT, current US$)"
617,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)"
616,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)"
615,"Interest payments on external debt, short-term (INT, current US$)"
622,"Interest payments on external debt, total (INT, current US$)"
800,"Interest rate spread (lending rate minus deposit rate, %)"
397,Interest rescheduled (capitalized) (current US$)
396,"Interest rescheduled, official (current US$)"
395,"Interest rescheduled, private (current US$)"
6,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)"
5,"Internally displaced persons, new displacement associated with disasters (number of cases)"
4,"Internally displaced persons, total displaced by conflict and violence (number of people)"
720,International migrant stock (% of population)
721,"International migrant stock, total"
415,"International tourism, expenditures (% of total imports)"
416,"International tourism, expenditures (current US$)"
419,"International tourism, expenditures for passenger transport items (current US$)"
417,"International tourism, expenditures for travel items (current US$)"
424,"International tourism, number of arrivals"
423,"International tourism, number of departures"
421,"International tourism, receipts (% of total exports)"
422,"International tourism, receipts (current US$)"
420,"International tourism, receipts for passenger transport items (current US$)"
418,"International tourism, receipts for travel items (current US$)"
336,Investment in ICT with private participation (current US$)
337,Investment in energy with private participation (current US$)
335,Investment in transport with private participation (current US$)
334,Investment in water and sanitation with private participation (current US$)
941,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)"
942,"Labor force participation rate for ages 15-24, female (%) (national estimate)"
939,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)"
940,"Labor force participation rate for ages 15-24, male (%) (national estimate)"
937,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)"
938,"Labor force participation rate for ages 15-24, total (%) (national estimate)"
926,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)"
927,"Labor force participation rate, female (% of female population ages 15+) (national estimate)"
936,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)"
922,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)"
923,"Labor force participation rate, male (% of male population ages 15+) (national estimate)"
935,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)"
920,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)"
921,"Labor force participation rate, total (% of total population ages 15+) (national estimate)"
934,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)"
931,Labor force with advanced education (% of total working-age population with advanced education)
933,"Labor force with advanced education, female (% of female working-age population with advanced education)"
932,"Labor force with advanced education, male (% of male working-age population with advanced education)"
928,Labor force with basic education (% of total working-age population with basic education)
930,"Labor force with basic education, female (% of female working-age population with basic education)"
929,"Labor force with basic education, male (% of male working-age population with basic education)"
917,Labor force with intermediate education (% of total working-age population with intermediate education)
919,"Labor force with intermediate education, female (% of female working-age population with intermediate education)"
918,"Labor force with intermediate education, male (% of male working-age population with intermediate education)"
913,"Labor force, female (% of total labor force)"
912,"Labor force, total"
345,Labor tax and contributions (% of commercial profits)
1580,Land area (sq. km)
1585,Land area where elevation is below 5 meters (% of total land area)
1591,Land under cereal production (hectares)
115,Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no)
113,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no)
114,Law mandates paid or unpaid maternity leave (1=yes; 0=no)
116,Law prohibits or invalidates child or early marriage (1=yes; 0=no)
122,"Lead time to export, median case (days)"
121,"Lead time to import, median case (days)"
112,Legislation exists on domestic violence (1=yes; 0=no)
801,Lending interest rate (%)
1024,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources
703,"Life expectancy at birth, female (years)"
701,"Life expectancy at birth, male (years)"
702,"Life expectancy at birth, total (years)"
50,Lifetime risk of maternal death (%)
51,Lifetime risk of maternal death (1 in: rate varies by country)
133,Liner shipping connectivity index (maximum value in 2004 = 100)
1417,"Listed domestic companies, total"
531,"Literacy rate, adult female (% of females ages 15 and above)"
530,"Literacy rate, adult male (% of males ages 15 and above)"
529,"Literacy rate, adult total (% of people ages 15 and above)"
534,"Literacy rate, youth (ages 15-24), gender parity index (GPI)"
535,"Literacy rate, youth female (% of females ages 15-24)"
533,"Literacy rate, youth male (% of males ages 15-24)"
532,"Literacy rate, youth total (% of people ages 15-24)"
1573,Livestock production index (2004-2006 = 100)
1538,Logistics performance index: Ability to track and trace consignments (1=low to 5=high)
1541,Logistics performance index: Competence and quality of logistics services (1=low to 5=high)
1542,Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high)
120,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high)
1539,Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high)
1540,Logistics performance index: Overall (1=low to 5=high)
1543,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high)
380,Losses due to theft and vandalism (% of annual sales of affected firms)
1504,Low-birthweight babies (% of births)
319,"Lower secondary completion rate, female (% of relevant age group)"
318,"Lower secondary completion rate, male (% of relevant age group)"
317,"Lower secondary completion rate, total (% of relevant age group)"
320,Lower secondary school starting age (years)
1163,Machinery and transport equipment (% of value added in manufacturing)
1043,"Mammal species, threatened"
29,Manufactures exports (% of merchandise exports)
209,Manufactures imports (% of merchandise imports)
1172,"Manufacturing, value added (% of GDP)"
1174,"Manufacturing, value added (annual % growth)"
1175,"Manufacturing, value added (constant 2010 US$)"
1173,"Manufacturing, value added (constant LCU)"
1176,"Manufacturing, value added (current LCU)"
1177,"Manufacturing, value added (current US$)"
828,Marine protected areas (% of territorial waters)
1418,Market capitalization of listed domestic companies (% of GDP)
1419,Market capitalization of listed domestic companies (current US$)
1495,"Maternal mortality ratio (modeled estimate, per 100,000 live births)"
1494,"Maternal mortality ratio (national estimate, per 100,000 live births)"
1161,Medium and high-tech Industry (including construction) (% manufacturing value added)
37,Medium and high-tech exports (% manufactured exports)
26,Merchandise exports (current US$)
16,Merchandise exports by the reporting economy (current US$)
17,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)"
27,Merchandise exports to economies in the Arab World (% of total merchandise exports)
25,Merchandise exports to high-income economies (% of total merchandise exports)
23,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)
22,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)
21,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)
20,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)
19,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)
18,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)
24,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)
15,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)
206,Merchandise imports (current US$)
45,Merchandise imports by the reporting economy (current US$)
46,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)"
207,Merchandise imports from economies in the Arab World (% of total merchandise imports)
205,Merchandise imports from high-income economies (% of total merchandise imports)
203,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports)
202,Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports)
201,Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports)
200,Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports)
199,Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports)
198,Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports)
204,Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)
44,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports)
414,Merchandise trade (% of GDP)
1192,Methane emissions (% change from 1990)
1193,Methane emissions (kt of CO2 equivalent)
1195,Methane emissions in energy sector (thousand metric tons of CO2 equivalent)
145,Methodology assessment of statistical capacity (scale 0 - 100)
1532,Military expenditure (% of GDP)
1531,Military expenditure (% of central government expenditure)
1533,Military expenditure (current LCU)
1534,Military expenditure (current USD)
991,Mineral rents (% of GDP)
131,Mobile cellular subscriptions
130,Mobile cellular subscriptions (per 100 people)
1475,"Mortality caused by road traffic injury (per 100,000 people)"
81,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)"
1512,"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)"
1485,"Mortality rate attributed to unintentional poisoning  (per 100,000 population)"
1484,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)"
1483,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)"
1474,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)"
712,"Mortality rate, adult, female (per 1,000 female adults)"
711,"Mortality rate, adult, male (per 1,000 male adults)"
705,"Mortality rate, infant (per 1,000 live births)"
706,"Mortality rate, infant, female (per 1,000 live births)"
704,"Mortality rate, infant, male (per 1,000 live births)"
80,"Mortality rate, neonatal (per 1,000 live births)"
84,"Mortality rate, under-5 (per 1,000 live births)"
83,"Mortality rate, under-5, female (per 1,000 live births)"
82,"Mortality rate, under-5, male (per 1,000 live births)"
111,Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no)
653,Multilateral debt (% of total external debt)
1370,Multilateral debt service (% of public and publicly guaranteed debt service)
1371,"Multilateral debt service (TDS, current US$)"
982,Natural gas rents (% of GDP)
1078,Net ODA provided to the least developed countries (% of GNI)
1079,"Net ODA provided, to the least developed countries (current US$)"
1076,"Net ODA provided, total (% of GNI)"
1075,"Net ODA provided, total (constant 2015 US$)"
1077,"Net ODA provided, total (current US$)"
1390,Net ODA received (% of GNI)
1386,Net ODA received (% of central government expense)
1391,Net ODA received (% of gross capital formation)
1388,"Net ODA received (% of imports of goods, services and primary income)"
1387,Net ODA received per capita (current US$)
782,Net acquisition of financial assets (% of GDP)
783,Net acquisition of financial assets (current LCU)
38,Net barter terms of trade index (2000 = 100)
1413,"Net bilateral aid flows from DAC donors, Australia (current US$)"
1412,"Net bilateral aid flows from DAC donors, Austria (current US$)"
1411,"Net bilateral aid flows from DAC donors, Belgium (current US$)"
1410,"Net bilateral aid flows from DAC donors, Canada (current US$)"
1265,"Net bilateral aid flows from DAC donors, Czech Republic (current US$)"
1263,"Net bilateral aid flows from DAC donors, Denmark (current US$)"
1409,"Net bilateral aid flows from DAC donors, European Union institutions (current US$)"
1261,"Net bilateral aid flows from DAC donors, Finland (current US$)"
1260,"Net bilateral aid flows from DAC donors, France (current US$)"
1264,"Net bilateral aid flows from DAC donors, Germany (current US$)"
1258,"Net bilateral aid flows from DAC donors, Greece (current US$)"
1256,"Net bilateral aid flows from DAC donors, Iceland (current US$)"
1257,"Net bilateral aid flows from DAC donors, Ireland (current US$)"
1255,"Net bilateral aid flows from DAC donors, Italy (current US$)"
1254,"Net bilateral aid flows from DAC donors, Japan (current US$)"
1253,"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)"
1252,"Net bilateral aid flows from DAC donors, Luxembourg (current US$)"
1251,"Net bilateral aid flows from DAC donors, Netherlands (current US$)"
1087,"Net bilateral aid flows from DAC donors, New Zealand (current US$)"
1088,"Net bilateral aid flows from DAC donors, Norway (current US$)"
1086,"Net bilateral aid flows from DAC donors, Poland (current US$)"
1085,"Net bilateral aid flows from DAC donors, Portugal (current US$)"
1084,"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)"
1083,"Net bilateral aid flows from DAC donors, Slovenia (current US$)"
1262,"Net bilateral aid flows from DAC donors, Spain (current US$)"
1082,"Net bilateral aid flows from DAC donors, Sweden (current US$)"
1266,"Net bilateral aid flows from DAC donors, Switzerland (current US$)"
1081,"Net bilateral aid flows from DAC donors, Total (current US$)"
1259,"Net bilateral aid flows from DAC donors, United Kingdom (current US$)"
1080,"Net bilateral aid flows from DAC donors, United States (current US$)"
1443,"Net capital account (BoP, current US$)"
401,Net change in interest arrears (current US$)
812,Net domestic credit (current LCU)
1448,"Net errors and omissions (BoP, current US$)"
1452,"Net financial account (BoP, current US$)"
194,"Net financial flows, IBRD (NFL, current US$)"
193,"Net financial flows, IDA (NFL, current US$)"
196,"Net financial flows, IMF concessional (NFL, current US$)"
195,"Net financial flows, IMF nonconcessional (NFL, current US$)"
179,"Net financial flows, RDB concessional (NFL, current US$)"
178,"Net financial flows, RDB nonconcessional (NFL, current US$)"
391,"Net financial flows, bilateral (NFL, current US$)"
192,"Net financial flows, multilateral (NFL, current US$)"
190,"Net financial flows, others (NFL, current US$)"
387,"Net flows on external debt, long-term (NFL, current US$)"
386,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)"
385,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)"
384,"Net flows on external debt, short-term (NFL, current US$)"
388,"Net flows on external debt, total (NFL, current US$)"
811,Net foreign assets (current LCU)
778,"Net incurrence of liabilities, total (% of GDP)"
779,"Net incurrence of liabilities, total (current LCU)"
493,Net intake rate in grade 1 (% of official school-age population)
495,"Net intake rate in grade 1, female (% of official school-age population)"
494,"Net intake rate in grade 1, male (% of official school-age population)"
776,Net investment in nonfinancial assets (% of GDP)
777,Net investment in nonfinancial assets (current LCU)
774,Net lending (+) / net borrowing (-) (% of GDP)
775,Net lending (+) / net borrowing (-) (current LCU)
724,Net migration
1393,Net official aid received (constant 2015 US$)
1394,Net official aid received (current US$)
1395,Net official development assistance and official aid received (constant 2015 US$)
1396,Net official development assistance and official aid received (current US$)
1389,Net official development assistance received (constant 2015 US$)
1392,Net official development assistance received (current US$)
383,"Net official flows from UN agencies, FAO (current US$)"
382,"Net official flows from UN agencies, IAEA (current US$)"
381,"Net official flows from UN agencies, IFAD (current US$)"
197,"Net official flows from UN agencies, ILO (current US$)"
177,"Net official flows from UN agencies, UNAIDS (current US$)"
174,"Net official flows from UN agencies, UNDP (current US$)"
1555,"Net official flows from UN agencies, UNECE (current US$)"
1554,"Net official flows from UN agencies, UNFPA (current US$)"
175,"Net official flows from UN agencies, UNHCR (current US$)"
176,"Net official flows from UN agencies, UNICEF (current US$)"
1553,"Net official flows from UN agencies, UNPBF (current US$)"
1552,"Net official flows from UN agencies, UNRWA (current US$)"
1551,"Net official flows from UN agencies, UNTA (current US$)"
1550,"Net official flows from UN agencies, WFP (current US$)"
1549,"Net official flows from UN agencies, WHO (current US$)"
1451,"Net primary income (BoP, current US$)"
757,Net primary income (Net income from abroad) (constant LCU)
758,Net primary income (Net income from abroad) (current LCU)
759,Net primary income (Net income from abroad) (current US$)
1444,"Net secondary income (BoP, current US$)"
751,Net secondary income (Net current transfers from abroad) (constant LCU)
752,Net secondary income (Net current transfers from abroad) (current LCU)
753,Net secondary income (Net current transfers from abroad) (current US$)
1449,"Net trade in goods (BoP, current US$)"
1450,"Net trade in goods and services (BoP, current US$)"
1545,"Net transfers on external debt, long-term (NTR, current US$)"
1544,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)"
1408,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)"
1546,"Net transfers on external debt, total (NTR, current US$)"
569,"New business density (new registrations per 1,000 people ages 15-64)"
568,New businesses registered (number)
1314,Newborns protected against tetanus (%)
1186,Nitrous oxide emissions (% change from 1990)
1187,Nitrous oxide emissions (thousand metric tons of CO2 equivalent)
1188,Nitrous oxide emissions in energy sector (% of total)
1189,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)
110,Nondiscrimination clause mentions gender in the constitution (1=yes; 0=no)
117,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no)
94,Number of deaths ages 5-14 years
92,Number of infant deaths
52,Number of maternal deaths
88,Number of neonatal deaths
1463,Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1459,Number of people pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure
1456,Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure
1317,Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure
1513,"Number of surgical procedures (per 100,000 population)"
90,Number of under-five deaths
344,Number of visits or required meetings of affected firms with tax officials
58,"Nurses and midwives (per 1,000 people)"
748,"Official exchange rate (LCU per US$, period average)"
974,Oil rents (% of GDP)
28,Ores and metals exports (% of merchandise exports)
208,Ores and metals imports (% of merchandise imports)
586,Other expense (% of expense)
587,Other expense (current LCU)
1201,Other greenhouse gas emissions (% change from 1990)
1202,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)"
1162,Other manufacturing (% of value added in manufacturing)
600,Other taxes (% of revenue)
601,Other taxes (current LCU)
343,Other taxes payable by businesses (% of commercial profits)
1302,Out-of-pocket expenditure (% of current health expenditure)
1301,Out-of-pocket expenditure per capita (current US$)
1300,"Out-of-pocket expenditure per capita, PPP (current international $)"
490,"Over-age students, primary (% of enrollment)"
492,"Over-age students, primary, female (% of female enrollment)"
491,"Over-age students, primary, male (% of male enrollment)"
1061,PFC gas emissions (thousand metric tons of CO2 equivalent)
1060,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"
1056,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)"
1059,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)"
1058,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)"
1057,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)"
885,"PNG, bonds (AMT, current US$)"
843,"PNG, bonds (DIS, current US$)"
647,"PNG, bonds (DOD, current US$)"
406,"PNG, bonds (INT, current US$)"
183,"PNG, bonds (NFL, current US$)"
1400,"PNG, bonds (NTR, current US$)"
1247,"PNG, bonds (TDS, current US$)"
884,"PNG, commercial banks and other creditors (AMT, current US$)"
842,"PNG, commercial banks and other creditors (DIS, current US$)"
646,"PNG, commercial banks and other creditors (DOD, current US$)"
405,"PNG, commercial banks and other creditors (INT, current US$)"
182,"PNG, commercial banks and other creditors (NFL, current US$)"
1399,"PNG, commercial banks and other creditors (NTR, current US$)"
1246,"PNG, commercial banks and other creditors (TDS, current US$)"
1067,"PPG, IBRD (AMT, current US$)"
850,"PPG, IBRD (DIS, current US$)"
656,"PPG, IBRD (DOD, current US$)"
614,"PPG, IBRD (INT, current US$)"
1407,"PPG, IBRD (NTR, current US$)"
1373,"PPG, IBRD (TDS, current US$)"
1066,"PPG, IDA (AMT, current US$)"
849,"PPG, IDA (DIS, current US$)"
655,"PPG, IDA (DOD, current US$)"
613,"PPG, IDA (INT, current US$)"
1406,"PPG, IDA (NTR, current US$)"
1372,"PPG, IDA (TDS, current US$)"
1074,"PPG, bilateral (AMT, current US$)"
858,"PPG, bilateral (DIS, current US$)"
837,"PPG, bilateral (DOD, current US$)"
624,"PPG, bilateral (INT, current US$)"
1548,"PPG, bilateral (NTR, current US$)"
1385,"PPG, bilateral (TDS, current US$)"
1073,"PPG, bilateral concessional (AMT, current US$)"
857,"PPG, bilateral concessional (DIS, current US$)"
836,"PPG, bilateral concessional (DOD, current US$)"
623,"PPG, bilateral concessional (INT, current US$)"
390,"PPG, bilateral concessional (NFL, current US$)"
1547,"PPG, bilateral concessional (NTR, current US$)"
1384,"PPG, bilateral concessional (TDS, current US$)"
1062,"PPG, bonds (AMT, current US$)"
845,"PPG, bonds (DIS, current US$)"
649,"PPG, bonds (DOD, current US$)"
408,"PPG, bonds (INT, current US$)"
186,"PPG, bonds (NFL, current US$)"
1402,"PPG, bonds (NTR, current US$)"
1249,"PPG, bonds (TDS, current US$)"
886,"PPG, commercial banks (AMT, current US$)"
844,"PPG, commercial banks (DIS, current US$)"
648,"PPG, commercial banks (DOD, current US$)"
407,"PPG, commercial banks (INT, current US$)"
185,"PPG, commercial banks (NFL, current US$)"
1401,"PPG, commercial banks (NTR, current US$)"
1248,"PPG, commercial banks (TDS, current US$)"
1065,"PPG, multilateral (AMT, current US$)"
848,"PPG, multilateral (DIS, current US$)"
654,"PPG, multilateral (DOD, current US$)"
411,"PPG, multilateral (INT, current US$)"
1405,"PPG, multilateral (NTR, current US$)"
1064,"PPG, multilateral concessional (AMT, current US$)"
847,"PPG, multilateral concessional (DIS, current US$)"
652,"PPG, multilateral concessional (DOD, current US$)"
410,"PPG, multilateral concessional (INT, current US$)"
191,"PPG, multilateral concessional (NFL, current US$)"
1404,"PPG, multilateral concessional (NTR, current US$)"
1369,"PPG, multilateral concessional (TDS, current US$)"
1063,"PPG, official creditors (AMT, current US$)"
846,"PPG, official creditors (DIS, current US$)"
650,"PPG, official creditors (DOD, current US$)"
409,"PPG, official creditors (INT, current US$)"
187,"PPG, official creditors (NFL, current US$)"
1403,"PPG, official creditors (NTR, current US$)"
1250,"PPG, official creditors (TDS, current US$)"
883,"PPG, other private creditors (AMT, current US$)"
841,"PPG, other private creditors (DIS, current US$)"
645,"PPG, other private creditors (DOD, current US$)"
404,"PPG, other private creditors (INT, current US$)"
